;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°O_0116";"0121";"BEdT 155,008";"Enfolqetz de marsseilla.";"En chantan mauen amembr/ar";"076 A";"076 B"
"";"Scheda";"p_°O_0117";"0122";"BEdT 155,014";"Enfolquetz de marseilla.";"Molt ifes gran pechat amors";"076 B";"077 B"
"";"Scheda";"p_°O_0118";"0123";"BEdT 155,021";"Enfolquetz de marseilla.";"Si tot me sui trop tart ap(er)ceu/butz";"077 B";"078 A"
"";"Scheda";"p_°O_0119";"0124";"BEdT 155,005";"Enfolqetz de marsseilla.";"Ben an mort mi elor";"078 A";"079 A"
"";"Scheda";"p_°O_0120";"0125";"BEdT 155,023";"Enfolquetz de marsseilla.";"Tant mou de corteza razo";"079 A";"079 B"
"";"Scheda";"p_°O_0121";"0126";"BEdT 155,001";"Enfolquetz de marseilla.";"Amors merces no moira ta(n) / souen";"079 B";"080 A"
"";"Scheda";"p_°O_0122";"0127";"BEdT 155,006";"Enfolquetz de marseilla.";"Chantan uolgra mo ferm cor / descubrir";"080 A";"081 A"
"";"Scheda";"p_°O_0123";"0128";"BEdT 384,001";"§ la tenzon de(n) sauaric edell / prebost.";"Sauaric eu(s)deman";"081 A";"082 A"
"";"Scheda";"p_°O_0124";"0129";"BEdT 432,002";"§ latenzon de gauzelm faiditz. / Eden Saueric d(e) malleo ede nuc.";"Gaucelin tres iocs enamoratz";"082 A";"083 A"
"";"Scheda";"p_°O_0125";"0130";"BEdT 184,001";"§ la tenzo del comte e den nar/naut.";"Amic narnaut cent do(m)pnas daut paratge";"083 A";"083 B"
"";"Scheda";"p_°O_0126";"0131";"BEdT 001,001";"§ la tenzode naemar ede mira/ual.";"Miraual tenzon granda";"083 B";"084 A"
"";"Scheda";"p_°O_0127";"0132";"BEdT 344,003a";"§ la tenzo den pe/ire gullerm eden sordel.";"En Sordel qe uos es semblan";"084 A";"084 B"
"";"Scheda";"p_°O_0128";"0133";"BEdT 167a,001";"§ la tenzon den Gaucelm ede / son cozin.";"Cozin ab uos uoil far tenzon";"084 B";"085 A"
"";"Scheda";"p_°O_0129";"0134";"BEdT 052,004";"§ la tenzon den ber/nart eden elias.";"Nelyas de dos amadors";"085 A";"085 B"
"";"Scheda";"p_°O_0130";"0135";"BEdT 436,001";"§ la tenzon den symon eden / lanfranc.";"Car es tant conoissenz uos uo/il";"085 B";"086 B"
"";"Scheda";"p_°O_0131";"0136";"BEdT 449,001";"§ la tenzo den Ugo / eden bertran.";"Digatz bertran de saint felis";"086 B";"087 A"
"";"Scheda";"p_°O_0132";"0137";"BEdT 366,017";"§ la tenzon de / peirols eden gaucellin.";"Gaucelm digatz al uostre sen";"087 A";"087 B"
"";"Scheda";"p_°O_0133";"0138";"BEdT 366,030";"§ la tenzon de peirols ede son se/ignor.";"Seigner qal penrratz uos";"087 B";"088 A"
"";"Scheda";"p_°O_0134";"0139";"BEdT 201,005";"§ la tenzon den Guillem eden nar/naut.";"Seigner arnaut dun iouen";"088 A";"088 B"
"";"Scheda";"p_°O_0135";"0140";"BEdT 252,001";"§ la tenzon de domna ysabella /eden Elias cairel.";"Nelyas Cairel del amor<.>";"088 B";"089 B"
"";"Scheda";"p_°O_0136";"0141";"BEdT 286,001";"§ la tenzon den le/mozi eden bernart del uentadorn.";"Bernart del uentadorn. del cha(n)[.]";"089 B";"090 A"
"";"Scheda";"p_°O_0137";"0142";"BEdT 238,002";"§ la tenzon den gui/zenet eden raembaut.";"Enraembaut pron domna / daut paratge[.]";"090 A";"091 A"
"";"Scheda";"p_°O_0138@";"0143";"BEdT 097,007";"§ la tenzon den blancatz eden pe/ire uidal.";"Peire uidal pos fam ensems / tenzon";"091";" "
"";"Scheda";"p_°O_0139@";"0144";"BEdT 084,001";"§ la tenzon den bertrant de gordon / ede peire raimon.";"Totz tos afaires es nienz";"091 B";"092 A"
"";"Scheda";"p_°O_0140";"0145";"BEdT 438,001";"§ la tenzos de taurel / eden falconet.";"Falconet deguillalmona.";"092 A";"092 B"
"";"Scheda";"p_°O_0141";"0146";"BEdT 436,003";"§ la tenzos den symon / eden jacme grill.";"Segnen Iacme grils eus de/man";"092 B";"092 B"
"";"Scheda";"p_°O_0142";"0147";"BEdT 167,044";"§ la tenzon den nuc de la bach/alaria. eden Gaucelm faiditz.";"NUc de la bachalaria";"093 A";"093 B"
"";"Scheda";"p_°O_0143";"0148";"BEdT 282,014";"§ la tenzo de na Guill(er)ma eden / lanfranc cigalla.";"Na guillelma maint cauallier / arratge";"093 B";"094 B"
"";"Scheda";"p_°O_0144";"0149";"BEdT 010,006";"§ la tenzon dalbert / eden aimeric.";"Amics albert tenzos seuen";"094 B";"095 B"
"";"Scheda";"p_°O_0145";"0150";"BEdT 249a,001";"§ la tenzon de / Rofin. ede domna .h.";"Rofin digatz mades de cors[.]";"095 B";"096 A"
"";"Scheda";"p_°O_0146";"0151";"BEdT 119,007";"§ lo fils den bertran del born.";"Pos sai es uengutz cardaillac";"096 A";"096 B"
"";"Scheda";"p_°Q_0001";"0001";"BEdT 030,VI";"Arnadus meroglus.";"Rasons es emesura";"001 rA";"003 rB"
"";"Scheda";"p_°Q_0002";"0002";"BEdT 030,I";"Doniare.";"Cel q(ue) uos es alcor plus p(re)s";"003 rB";"004 rB"
"";"Scheda";"p_°Q_0003";"0003";"BEdT 461,147";"Te(n)ço(n).";"Galtrer fui accalaon";"004 rB";"004 vA"
"";"Scheda";"p_°Q_0004";"0004";"BEdT 461,027a";"0";"Arnaldon p(er)na ioh(an)a";"004 vA";"004 vA"
"";"Scheda";"p_°Q_0005";"0005";"BEdT 461,209a";"0";"Ki de placers edonar";"004 vA";"004 vB"
"";"Scheda";"p_°Q_0006";"0006";"BEdT 461,200";"Balada.";"Qvant escaualcai lautrer";"004 vB";"005 rA"
"";"Scheda";"p_°Q_0007";"0007";"BEdT 461,166";"Balada.";"Mortman li semblan q(ue) ma/donam fai";"005 rA";"005 rB"
"";"Scheda";"p_°Q_0008";"0008";"BEdT 461,073";"Balada.";"Damor mestera beli egent";"005 rB";"005 rB"
"";"Scheda";"p_°Q_0009";"0009";"BEdT 461,069";"0";"Coindeta sui si cu(m) nai greu cossire";"005 rB";"005 vB"
"";"Scheda";"p_°Q_0010";"0010";"BEdT 461,201";"Balada.";"Quant lo gilos er fora bels/ ami uene uos ami";"005 vB";"005 vB"
"";"Scheda";"p_°Q_0011";"0011";"BEdT 194,002";"Te(n)ço.";"Aram digaz uostre sembla(n)";"005 vB";"006 rB"
"";"Scheda";"p_°Q_0012";"0012";"BEdT 392,029";"Te(n)ço(n).";"Segner coine ioi ep(re)z (et) amors";"006 rB";"006 vA"
"";"Scheda";"p_°Q_0013";"0013";"BEdT 075,005";"Te(n)ço(n).";"[m]Songe eu uos demant | de doz";"006 vA";"006 vB"
"";"Scheda";"p_°Q_0014";"0014";"BEdT 213,005";"0";"Li dolz consirre | chi(n) donna";"006 vB";"007 rB"
"";"Scheda";"p_°Q_0015";"0015";"BEdT 461,V";"Te(n)ço(n).";"Do(n)na uos mauez (et) amo(r)s";"007 rB";"008 rB"
"";"Scheda";"p_°Q_0016";"0016";"BEdT 010,019";"Te(n)ço(n).";"De bergueda destas dras razos";"008 rB";"008 vA"
"";"Scheda";"p_°Q_0017";"0017";"BEdT 242,022";"0";"Uir aut de borneill si cu meteis";"008 vA";"008 vB"
"";"Scheda";"p_°Q_0018";"0018";"BEdT 366,017";"Te(n)ço(n).";"Gauselin digaz mal u(ost)re sen";"009 rA";"009 rA"
"";"Scheda";"p_°Q_0018a";"0018bis";"BEdT 119,001";"0";"Maiz eu nai bon razonamen";"009 rA";"009 rA"
"";"Scheda";"p_°Q_0018b";"0018ter";"BEdT 448,001";"0";"Dalphin pos tan auez emprez";"009 rB";"009 rB"
"";"Scheda";"p_°Q_0019";"0019";"BEdT 449,004";"Te(n)ço(n).";"Degner bertram us caualers p(re)saz";"009 rB";"009 vA"
"";"Scheda";"p_°Q_0020";"0020";"BEdT 025,001a";"Te(n)ço.";"Bernard de la bartal chausit";"009 vA";"010 rA"
"";"Scheda";"p_°Q_0021";"0021";"BEdT 016,016";"Te(n)çu(n).";"Eauselin fai diz eus deman";"010 rA";"010 vA"
"";"Scheda";"p_°Q_0022";"0022";"BEdT 366,010";"Te(n)ço.";"Dalphin sabriaz me uos";"010 vA";"010 vB"
"";"Scheda";"p_°Q_0023";"0023";"BEdT 010,052";"Aimerico d(e) pigoglana.";"Toç hom qaiço blasma q(e) deu lauçar";"011 rA";"011 rB"
