Eliminate?,Title,NWits,Note JBC
X,Meß- und Offiziumsbuch,3,
X,Meßreihe,4,
X,Minneklage,3,
X,Minnerede,1,
X,Monatsregeln,58,monastic rules
X,Mond / Mondfinsternis,1,
X,Moralisierendes Alphabet,3,
X,Mosaiktraktat,3,
X,Münzregal,2,
X,Musterbücher,3,
X,Namenmantik,5,
X,Neujahrsgruß,7,
X,Passion der vier Evangelien (getrennt nach einzelnen Evangelisten),15,
X,Perikopen,12,
X,Pestlassmännlein,3,
X,Pflanzenglossar,46,glossary of plants
X,Physiognomik,8,
X,Pilgerreiseberichte über Palästina,5,
X,Planetentraktate,29,astronomy treatises
X,Plenar,85,
X,"Privatgebetbuch (deutsch, vor 1400)",3,
X,Prophezeiungen,8,
X,Rätsel,33,Riddles
X,Rechenaufgaben,4,
X,Rechtsbuch,33,Counts
X,Reliquienverzeichnis,5,
X,Remissorien zu den deutschen Rechtsbüchern,6,
X,Rezept(e),722,"""recipe"""
X,Rituale,30,Rituals
X,Salomonische Schriften,1,
X,Sangspruchdichtung / Minnesang,21,
X,Schiffrecht,5,
X,"Schreibervers, -notiz / Federprobe",196,"Scribe verse, note / pen sample"
X,Schriftmusterblatt,1,
X,Seelbuch,1,
X,Segen / Beschwörungsformeln,229,Blessing / Incantations
X,Sequenz,17,
X,Spinnverse,1,
X,Sprichwörtersammlung,29,collection of proverbs
X,Stundenbuch,287,Book of Hours
X,Sündenbekenntnis,22,
X,Tauler-Cantilenen,9,
X,Temperamentenlehre,20,
X,Tierkreiszeichenlehre,52,
X,Tischzucht,6,
X,Turnierbuch,1,
X,Vaterunserauslegung,95,explanation of prayer Our Father
X,Verbenatraktat,11,
X,Visierbüchlein,1,
X,Vokabular,124,vocabulary
X,Vom Meineid,1,
X,Wacholderbeer-Traktat,7,
X,Wappenbuch,27,Heraldry book?
X,Weinrezepte,21,
X,Wetternotiz(en),2,
X,Wochentagsprognosen,3,
X,Wund- und Blutbeschwörungen,12,
X,Wurmbeschwörungen,9,
X,Zerbster Vehmbuch,1,
X,Zinsverzeichnis,10,
,'(Berliner) Psalmen-Fragmente',1,
,'(Großes) Benediktbeurer Passionsspiel',1,
,'(Kölner) Amtleutebuch von St. Brigida',1,
,'(Salzburger) Heldenepos-Fragment',1,
,'A solis ortus cardine' (deutsch),5,
,'Aachener Chronik',3,
,'ABC vom Altarssakrament',3,
,'Abdinghofer Arzneibuch',1,
,'Abdinghofer Blutsegen Ad restringendum sanguinem',1,
,'Abecedarium Nordmannicum',1,
,"'Abecedarius', gereimt",1,
,'Abendvesper',4,
,'Aberglaube',1,
,'Abor und das Meerweib',1,
,'Abrogans deutsch',5,
,'Absage an die falsche Welt',11,
,'Abschiedsgruß',5,
,'Abstractum-Glossar',124,
,'Ach ewig wort nv gib mir rät',1,
,'Ach starker got von himelrich',1,
,'Achahildis von Wendelstein' (Prosalegenden),1,
,'Acht innere Leiden Christi',3,
,'Acht Schätze',2,
,'Acht Seligkeiten',3,
,'Acht Verse (Psalmverse) St. Bernhards',26,
,'Acta des Tirolerkriegs',2,
,'Ad catarrum dic',1,
,'Ad equum errehet',1,
,'Ad fluxum sanguinis narium',1,
,'Adalrich' (Prosalegenden),1,
,'Adam und Eva' ('Adams Klage'),15,
,'Adam und Eva' (obd. Reimfassung),6,
,'Adam und Eva' (Predigtparodie),5,
,'Adambuch' (Prosa),1,
,'Adelhauser Schwesternbuch',2,
,'Adelheid' (Prosalegenden),4,
,'Adelphus von Metz' (Prosalegenden),2,
,'Adler und Eule',1,
,'Adler und Schildkröte',1,
,'Admonter Mariengebet',1,
,'Admonter Passionsspiel',1,
,'Admonter Perikopen',3,
,'Aegidius von Assisi' (Prosalegenden),2,
,'Afra' (Prosalegenden),3,
,'Afra' (Verslegende),2,
,'Agatha von Catania' (Prosalegenden),5,
,'Aggsbacher Marienklage',1,
,'Ägidius' ('Ostschwäbischer Ägidius'),1,
,'Ägidius' ('Trierer/Höxter Ägidius'),2,
,'Agnes von Assisi' (Prosalegenden),2,
,'Agnes von Böhmen' (Prosalegenden),8,
,'Agnes von Rom' (Prosalegenden),6,
,'Agnes von Rom' (Verslegende),1,
,"'Agnus Dei'-Gedicht, dt.",12,
,"'Agnus Dei'-Prosa, dt.",3,
,"'Ahorn, Buchsbaum und Linde'",1,
,'Ain anefang in ewikeit',1,
,'Ain gemaine lere',31,
,'Ainune',1,
,'Aiol' ('Flämischer Aiol'),1,
,'Aiol' ('Limburgischer Aiol'),1,
,'Albanus',1,
,'Albertus Magnus und die Tochter des Königs von Frankreich',1,
,'Alchymey teuczsch',1,
,'Alemannische Predigtbruchstücke',1,
,'Alemannisches Büchlein von guter Speise',1,
,'Alemannisches Kräuterbuch',5,
,'Alexander und Anteloye',5,
,'Alexius' (Prosalegenden),6,
,'Alexius' (Verslegende A),5,
,'Alexius' (Verslegende B),6,
,'Alexius' (Verslegende C),5,
,'Alexius' (Verslegende F),2,
,'Alexius' (Verslegende I),1,
,'Alexius' (Verslegende K),3,
,'Alexiusspiel',1,
,"'Alfadol', dt.",1,
,'Alischanz',1,
,'Alkuins Traktat de virtutibus et vitiis',1,
,'Allerheiligenpredigt aus Zeitz',1,
,'Allerley Kriegsrüstung',1,
,'Alphabetischer Liebesgruß',1,
,'Alphabetum divinum' (dt.),8,
,'Alpharts Tod',1,
,'Als ich in wunder valle',2,
,'Alsfelder Dirigierrolle',1,
,'Alsfelder Passionsspiel',1,
,'Altalemannische Psalmenübersetzung',1,
,'Altbairische Beichte',1,
,'Altbairisches Gebet',2,
,'Altdeutsche Exodus',2,
,'Altdeutsche Genesis',3,
,'Altdeutsche Gespräche',1,
,"'Alter Ehemann, junge Ehefrau'",1,
,'Alter Kulm',42,
,'Alter Löwe',1,
,'Ältere deutsche Habichtslehre',3,
,'Ältere Hochmeisterchronik',25,
,'Ältere niederrheinische Marienklage',1,
,'Älteste Preußische Annalen',1,
,'Althochdeutsche Lex Salica',1,
,'Althochdeutsche Predigtsammlung',1,
,"'Althochdeutsche Übersetzung zu Io 19,38'",1,
,'Althochdeutscher Isidor',2,
,'Altniederfränkische Psalmen',1,
,'Altniederfränkischer Lobvers von Munsterbilzen',1,
,'Altniederfränkisches Sprichwort Hebban olla uogala',1,
,'Altsächsische Genesis',1,
,'Altsächsische Homilie Bedas',1,
,'Altsächsische Psalmen-Fragmente',1,
,'Ambraser Heldenbuch',1,
,'Ameise und Grille',1,
,'Amicus und Amelius' (dt. Prosafassungen),4,
,'Amicus und Amelius' (Verslegende),1,
,'Amorbacher (alemannisches) Spiel von Mariae Himmelfahrt',1,
,'Amsterdamer Liebesgruß',1,
,'Amsterdamer Liederbuch',1,
,'Anastasia' (Prosalegenden),6,
,'Anatolia und Victoria' (Prosalegenden),10,
,'Andächtige Prozession',2,
,'Andachtsbüchlein aus der Sammlung Bouhier',1,
,'Andechser Chronik',21,
,'Andreas',1,
,'Anfechtungen der Klosterleute',3,
,"'Anima Christi', dt.",16,
,"'Anleitung, Schießpulver zu bereiten, Büchsen zu laden und zu beschießen'",1,
,'Anleitungen für einen Wundarzt',1,
,'Anna' (Prosalegenden),22,
,'Anno' (Prosalegenden),4,
,'Annolied',2,
,'Anrufung der Minne',1,
,'Ansbacher Arzneibuch',1,
,'Ansgar' (Prosalegenden),1,
,'Antelan' ('König Anteloy'),1,
,'Antichrist-Bildertext',12,
,'Antonius der Große' (Prosalegenden),11,
,'Antonius von Padua' (Prosalegenden),3,
,'Apokalypse' (mhd. Prosa),19,
,'Apokalypse' (nd.),18,
,'Apollonia von Alexandria' (Prosalegenden),4,
,'Apostelleben',1,
,'Apotheke der Schwestern',5,
,'Appenzeller Reimchronik',1,
,'Arbogast' (alem. Predigt),1,
,'Arbogast' (Prosalegenden),1,
,'Aristoteles und Phyllis',4,
,'Aristotiles und die Königin',1,
,'Arnsteiner Mariengebet',1,
,"'Ars moriendi', dt.",20,
,"'Ars oratoria', dt.",1,
,'Artemisia-Vokabular',41,
,'Arzenîbuoch Ipocratis',4,
,'Asanger Aderlaßbüchlein',1,
,"'Astrolabium planum', dt.",6,
,'Athala' (Prosalegenden),2,
,'Athanasius der Große' (Prosalegenden),1,
,'Athis und Prophilias',4,
,'Auerspergsche Familienchronik',1,
,'Auff mit bekennen vnd mit hoher mynn',1,
,'Augsburger (südbairisches) Heiligkreuzspiel',1,
,'Augsburger Bibelhandschrift',11,
,'Augsburger Cantionessammlung',1,
,'Augsburger Drittordensregel',5,
,'Augsburger Gebet',1,
,'Augsburger Georgspiel',1,
,'Augsburger Liederbuch',1,
,'Augsburger Marienklage',13,
,'Augsburger Osterspiel',1,
,'Augsburger Passionsspiel',1,
,'Augsburger Sachsenspiegel',2,
,'Augsburger Stadtbuch',66,
,'Augustinerinnen-Konstitutionen',3,
,'Augustinerregel',58,
,'Aurelia' (Prosalegenden),3,
,"'Aureum Ave Maria' Piz gruesst Maria hewt tawsentstund, dt. Reimpaargebet",2,
,'Aurolzmünsterer Predigtfragment',1,
,'Aus des vaters ewigkeit sein wir her geflossen',1,
,'Aus gotes herzen ein wort entsprang',1,
,'Auslegung der Blätter und Blumen',1,
,'Auslegung des Magnificat',3,
,'Auslegung des Vaterunsers',2,
,'Auszug von Teutschen Landen',12,
,'Autoritäten' (gereimt),19,
,'Ave Maria'-Auslegung,8,
,'Ave Maria'-Glossenlied,3,
,'Ave maris stella' (deutsch),13,
,"'Ave praeclara maris stella', dt.",34,
,"'Ave verum corpus natum', dt.",8,
,"'Ave vivens hostia', dt.",4,
,"'Ave, regina coelorum, mater regis angelorum, o Maria', mit Glossengedicht, dt.",5,
,"'Awe, waz wunnen schinet in der eren lande'",1,
,'Baculus iudicii',1,
,'Bairisch-österreichisches Buch von Troja' (früher: 'Buch von Troja II'),8,
,'Bairische Predigtsammlung des 13. Jh.s',5,
,'Bairisches Aderlaßbüchlein',1,
,'Bairisches Färbebüchlein',3,
,'Bamberger Blutsegen',1,
,"'Bamberger Capsula eburnea', dt.",1,
,"'Bamberger Dynamidia', dt.",1,
,'Bamberger Glaube und Beichte',1,
,'Bamberger Legendar',4,
,'Bamberger mathematisches Manuskript',1,
,'Bannerbüchlein',2,
,'Barbara' (Prosalegenden),38,
,'Barbara' (Verslegende I) / 'Barbaren Passie',3,
,'Barbara' (Verslegende II),1,
,'Barbara' (Verslegende III),2,
,'Barbara' (Verslegende IV),1,
,'Barlaam und Josaphat' ('Zürcher Barlaam'),1,
,'Barlaam und Josaphat' (Prosafassungen),9,
,'Bartfelder Rollenverzeichnis eines Osterspiels',1,
,'Bartholomäus',91,
,'Bartholomäus' (Prosalegenden),3,
,'Basler Annalen',4,
,'Basler Betrügnisse der Giler',5,
,'Basler Predigten',1,
,'Basler Reformpredigten',1,
,'Basler Rezepte',1,
,'Basler Rolle',1,
,'Basler Sammlung lateinischer Gedichte',1,
,'Basler Teufelsspiel-Fragment',1,
,'Bauernpraktik',1,
,'Bäume und Mann',3,
,'Baumgarten geistlicher Herzen',19,
,'Baumgartenberger Johannes Baptista',1,
,'Bebenhauser Legendar',3,
,'Bedeutung der acht Farben' (I),1,
,'Bedeutung der acht Farben' (II),1,
,'Bedeutung der Blätter und Blumen' (gereimt),1,
,'Bedeutung der Blätter und Blumen' (Prosa),1,
,'Bedeutung der Buchstaben',4,
,'Bedeutung der Farben und des Laubes',1,
,'Bedeutung der Farben',1,
,'Befreiung der Altväter',3,
,'Begegnungen mit schönen Jungfrauen',1,
,'Beginchen von Paris',4,
,'Behandlung der Wirbelsäule',1,
,'Beichtbuch',2,
,"'Beichttraktat Es sind vil menschen, den ir peicht wenig oder gar nichts hilft'",26,
,'Bekenntnis',1,
,'Belauschtes Gespräch zweier Frauen',1,
,'Belehrung eines jungen Mannes',3,
,'Benediktbeurer Gebet zum Meßopfer',1,
,'Benediktbeurer Glauben und Beichte',3,
,'Benediktbeurer Ratschläge und Gebete',1,
,'Benediktbeurer Rezeptar',5,
,'Benediktbeurer Spiele',1,
,'Benediktenöl-Traktat',1,
,'Benediktinerregel' (deutsch),94,
,'Berchta',3,
,'Bergfried der Minne',2,
,'Berliner (niederrheinisches) Passionsspiel-Fragment',1,
,'Berliner (rheinisches) Osterspiel',1,
,'Berliner (thüringisches) Osterspiel-Fragment',1,
,'Berliner Beichte',1,
,'Berliner Fragmente eines Rosengartenspiels',1,
,'Berliner Liebesbriefe',1,
,'Berliner Liederhandschrift mgf 922',1,
,'Berliner Moralität',1,
,'Berliner Rezept',1,
,'Berliner Ritterdichtung',1,
,'Berliner Rosengärtlein',1,
,'Berliner Schöffenrecht',1,
,'Berliner Weingartenpredigt',1,
,'Berliner Weltgerichtsspiel',1,
,'Berner Handfeste',3,
,'Berner Marienklage',2,
,'Berner Satzungenbuch',3,
,'Berner Weltgerichtsspiel',1,
,'Bernhardin von Siena' (Prosalegenden),1,
,'Bernhards Frage an die fünf Klosterbrüder',9,
,'Bernhardstraktat',1,
,'Besitze icht behalte icht',1,
,'Beständigkeit und Wankelmut',2,
,'Bestätigung der Constitutio Carolina de libertate ecclesiae (13.10.1359) durch das Konzil von Konstanz (23.9.1415)',2,
,'Bestrafte Untreue',4,
,'Bestraftes Mißtrauen' ('Frauenbeständigkeit'),1,
,'Besuch bei der Geliebten',4,
,'Beteuerung ewiger Treue',2,
,'Betrachtung des Leidens Christi',1,
,'Betrachtung des Todes Christi',1,
,'Betrachtung vom Heiligen Kreuz',2,
,'Betrachtungen über das Leiden Christi und das Mitleiden Marias',1,
,'Betrachtungen und Predigten zu 24 Kirchenfesten',6,
,'Bettgespräch',1,
,"'Bewährung, daß die Juden irren'",1,
,"'Biblia pauperum', dt. ('Armenbibel')",28,
,'Bielefelder Gebetbuch',1,
,'Bihtebuoch',5,
,'Bilder-Ars-moriendi',3,
,'Birgitta von Schweden' (Prosalegenden),3,
,'Birgittinerregel',6,
,'Biterolf und Dietleib' ('Biterolf'),1,
,'Blankenheimer Heiltumsfahrt',2,
,'Blanschandin',1,
,'Blonde und graue Haare',2,
,'Blume der Seele',2,
,'Blümel',1,
,'Boec van medicinen in Dietsche',5,
,'Böhmenschlacht',2,
,'Böhmische Marienklage',1,
,'Bollstatters Spruchsammlung',1,
,'Bonifatius' (Prosalegenden),5,
,'Bonus' ('Marienmirakel vom Bischof Bonus'),2,
,'Bordesholmer Marienklage',1,
,'Bozner Chronik',3,
,'Bozner Fronleichnamsspiel',1,
,'Bozner Passionsspiele',4,
,'Brandans Meerfahrt' (md. Bearbeitung),1,
,'Brandans Meerfahrt' (mndl. Fassung),2,
,'Brandans Meerfahrt' (obd. Prosafassung),4,
,'Brandans Meerfahrt' (ostfäl. Gedicht),1,
,'Brandenburger Osterspiel',1,
,'Braunschweiger Fehde',1,
,'Braunschweiger Marienklage',1,
,'Braunschweiger Stadtfehde (1492-94)',1,
,'Braunschweigische Reimchronik',2,
,'Breisacher Reimchronik',1,
,'Bremberger',1,
,'Bremer Arzneibuch',1,
,'Bremse im Blütenhaus',3,
,'Breslauer Apollonius',1,
,'Breslauer Arzneibuch',1,
,'Breslauer Äsop',1,
,'Breslauer Heroldsrolle',1,
,'Breslauer Landrecht',5,
,'Breslauer Marienklage (I)',1,
,'Breslauer Marienklage (II)',1,
,'Breslauer Osterspiel',1,
,'Breslauer Rezept',1,
,"'Breviarium caerimoniarum monasterii Mellicensis', dt.",1,
,'Brevier für Kaiser Friedrich III.',3,
,'Breviertexte aus Westfalen',1,
,'Brevilogus',7,
,'Brief an die Frau von Plauen',19,
,'Briefe eines Geistlichen an eine Schwester über praktische Fragen des Klosterlebens',1,
,'Brieger Psalmen-Fragmente',1,
,'Brigida von Kildare' (Prosalegenden),3,
,'Brixener Passionsspiel',1,
,'Brünner Recht',4,
,'Brünner Weltchronik',1,
,'Bruno von Köln' (Prosalegenden),4,
,'Buch der Gesundheit',2,
,'Buch der Könige',72,
,'Buch der Könige' (Reimversion),2,
,'Buch der Märtyrer',21,
,'Buch der Rügen',2,
,'Buch des Gehorsams',2,
,'Buch des Lebens',2,
,'Buch Sidrach',8,
,'Buch vom Gebet',1,
,"'Buch vom Menschen, Tier und Garten'",1,
,'Buch von alten Schäden',2,
,'Buch von dem fúnckelin in der selen',1,
,'Buch von dem fünfzehnjährigen Knaben',1,
,'Bůch von dem gevangen ritter',2,
,'Buch von den fünf Mannen' ('Fünfmannenbuch'),1,
,'Buch von den heiligen Mägden und Frauen',1,
,"'Buch von den junckfrawen, wie sy sich halten sullent'",1,
,'Buch von den vier Angeltugenden',9,
,'Buch von den zwei Mannen' ('Zweimannenbuch'),4,
,'Buch von der geistlichen Leiter',1,
,'Buch von der geistlichen Stiege',1,
,'Bůch von eime eigentwilligen weltwisen',2,
,'Bůch von einre offenbarunge' ('Sendschreiben an die Christenheit'),1,
,'Buch von Troja nach Guido de Columnis',7,
,'Büchlein vom schauenden und vom wirkenden Leben',3,
,'Büchlein von den Vier Jahren des anfangenden Lebens',1,
,'Büchsenmeisterbuch',10,
,'Büchsenwerk',1,
,'Budapester Beichte',1,
,'Budapester Eposfragment',1,
,'Budapester Liederhandschrift',1,
,'Buoch von den drien durchbrüchen',1,
,'Buoch von den fúrkomenen gnoden',3,
,'Burger Landrecht',1,
,'Burgundische Legende',7,
,'Buxheimer Fastenpredigt',1,
,'Caecilia' (Prosalegenden),4,
,'Caecilia' (Verslegende),1,
,'Cambridger Augensegen',1,
,'Canticum Rustardini',1,
,'Cantilena de conversione Sancti Pauli',1,
,'Cantilena de rege Bohemiae',1,
,"'Capsula eburnea', dt.",1,
,'Carmen ad Deum',1,
,'Carmina Burana',1,
,'Carmina Cantabrigiensia',1,
,"'Catalogus brevis omnium presulum Saltzburgensium', dt.",1,
,'Cato',125,
,'Chiromantie',4,
,'Christ ist erstanden',14,
,'Christe qui lux es et dies' (deutsch),13,
,'Christherre-Chronik',68,
,'Christi Leiden in einer Vision geschaut',21,
,'Christophorus' (Prosalegenden),2,
,'Christophorus' (Verslegende A),1,
,'Christophorus' (Verslegende B),3,
,'Christophorus' (Verslegende C),1,
,'Christus als Koch',7,
,'Christus am Kreuz',11,
,'Christus spricht zur minnenden Seele',1,
,'Christus und die minnende Seele',8,
,'Christus und die Samariterin',1,
,'Christus und die sieben Laden',40,
,'Christus und Pilatus',1,
,"'Chronicon parvum Dresdense', dt.",1,
,'Chronik aus Kaiser Sigmunds Zeit',5,
,'Chronik der Burgunderkriege',2,
,'Chronik der Grafen von Bentheim',1,
,"'Chronik der nortelvischen Sassen, der Ditmarschen, Stormarn unde Holsten'",2,
,'Chronik der Reichsstadt Regensburg von 1253 bis 1355',1,
,'Chronik der Stadt Konstanz',2,
,'Chronik der Stadt Zürich',4,
,'Chronik der vier Orden von Jerusalem',1,
,'Chronik der Zeiten Albrechts II. und Friedrichs III.',1,
,'Chronik des Anonymus vom Prälatenkrieg',1,
,'Chronik des Gotzhaus St. Gallen',3,
,'Chronik des St. Clarenklosters zu Weißenfels',2,
,'Chronik des Stiftes SS. Simon und Judas in Goslar',2,
,'Chronik von Rapperswil',1,
,'Chrysostomus' (Prosalegenden),4,
,'Churer Weltgerichtsspiel',1,
,"'Circa instans', dt.",8,
,'Cisioianus',53,
,'Cleomades',1,
,'Codex Falkensteinensis',1,
,'Colmarer Chronik',5,
,'Colmarer Kunstbuch',1,
,'Colmarer Paradiesgarten',2,
,"'Commemoratio passionis Jesu Christi per horas', dt.",1,
,'Confessionale',24,
,"'Constitutiones domini Alberti', dt.",2,
,"'Continuatio Praedicatorum Vindobonensium', dt.",2,
,'Contra caducum morbum',2,
,'Contra malum malannum',1,
,'Contra paralisin id est vergiht',1,
,'Contra paralysin theutonice',1,
,'Contra rehin',1,
,'Contra sagittam diaboli',1,
,'Contra uberbein',1,
,'Contra vermem edentem' und 'Contra vermes pecus edentes',1,
,'Cordula' (Prosalegenden),5,
,"'Coronacio Adalberti regis Romanorum, Ungarie et Boemie' (dt.)",1,
,"'Coronatio Maximiliani', dt.",1,
,'Craen',1,
,'Crailsheimer Schulordnung',1,
,'Crescentia' (Fassung B),1,
,'Crescentia' (Fassung C),2,
,'Crescentia' (Prosalegenden),3,
,'Cronica der graffen von Cilli',1,
,'Cronica des koninks Sigmundus zu Ungern',1,
,'Dalimil' (Prosafassung),3,
,'Dalimil' (Reimfassung),1,
,'Daniel',2,
,'Daniel' (Verslegende),1,
,'Darmstädter Gedicht über das Weltende',1,
,'Darmstädter Legendar',1,
,'Das Almosen',8,
,'Das andere Land',8,
,'Das Anegenge',1,
,'Das Auge',3,
,'Das böse Weib',1,
,'Das Buch mit den farbigen Tuchblättern der Beatrix von Inzigkofen',1,
,'Das Buch von geistlicher Armut',27,
,'Das Buch von guter Speise',1,
,'Das Büchlein' ('Das sogenannte zweite Büchlein'),1,
,'Das Fest',5,
,'Das Frauchen von 22 (21) Jahren',14,
,'Das Frauenturnier',4,
,'Das Gänslein',6,
,'Das gebratene Ei',4,
,'Das geistliche Haus',2,
,'Das Glücksrad',1,
,'Das Gnaistli',2,
,'Das goldene Krongebet von zehn Freuden Mariens',13,
,'Das goldene Schlößlein der Himmel',3,
,'Das Große Gebet der Eidgenossen',4,
,'Das Häslein',1,
,'Das Hausgeschirr',2,
,'Das heilige Almadel',3,
,'Das Herkommen der Schwyzer und Oberhasler',2,
,'Das Herz als Garten der Liebe',1,
,'Das Himmlische Jerusalem',2,
,'Das Hohe Lied',2,
,'Das Jüdel',3,
,'Das Judenkind',1,
,'Das Kerbelkraut' ('Weiberlist'),1,
,'Das Kreuz' ('Der listige Pfaffe'),1,
,'Das Leben der heiligen Elisabeth',11,
,'Das Leben der Jutta (von Reinhardsbrunn)',4,
,'Das Lob Salomons',1,
,'Das Meerwunder',1,
,'Das Meiden',5,
,'Das Minneturnier',1,
,'Das nackte Weib',9,
,'Das neue Deutsch',1,
,'Das Nonnenturnier',1,
,'Das Nördlinger Scharlachrennen',1,
,'Das Nürnberger (Kleine) Neidhartspiel',1,
,'Das Paradies des Klausners Johannes',1,
,'Das Parisurteil' I,1,
,'Das Parisurteil' II,1,
,'Das salomonische Urteil',1,
,'Das Scheiden',5,
,'Das Schiff des Heils',1,
,'Das schlaue Gretlein',4,
,'Das Schneekind',6,
,'Das Seebuch',2,
,'Das Spinnbuch' ('Dat spynbock'),1,
,'Das St. Pauler (schwäbische) Neidhartspiel',1,
,'Das Strohkränzlein',3,
,'Das Tiroler (Große) Neidhartspiel',1,
,'Das Tiroler (Mittlere) Neidhartspiel',1,
,'Das Tiroler Neidhart-Szenar',1,
,'Das Turnier',1,
,'Das Ungetüm',1,
,'Das Unglück',1,
,'Das Vergißmeinnicht',1,
,'Das Weib und die jungen Hühner',1,
,'Das Weltende',1,
,'Das weltliche Klösterlein',1,
,'Das Wesen der Minne' I,1,
,'Das Wesen der Minne' II,1,
,'Das Windschiff aus Schlaraffenland',1,
,'Das Wunderzeichen in Sizilien',4,
,'Das Zauberkraut',5,
,'Das Zelt der Minne',3,
,'Das zwölfjährige Mönchlein',2,
,'Dat Boec van den Houte',9,
,'Dat boec van der ioncfrouscap',2,
,'Dat nuwe Boich',1,
,'Dat schrijen der moder gotz vnder dem crutze staende',1,
,'Dat testament eines waren cristen mynschen',1,
,'Daz brechen leit',1,
,'Daz himelrîche',1,
,'Daz send gar hoch fragen und materien' (Jundt Nr. 3),1,
,'De beatitudine' (deutsch),5,
,"'De constructione vel destructione claustri in Maensê', dt.",1,
,"'De contemptu mundi', dt.",10,
,"'De curia romana', lat. und dt.",2,
,"'De exordio urbis Romanae', dt.",1,
,'De Heinrico',1,
,'De hoc quod spvriha[l]z dicvnt',1,
,'De mynnen rede',2,
,"'De reliquiis et veneratione sanctorum', dt.",6,
,'De Schevekloth',1,
,'De slach van Hulst',1,
,'De Sotte Gratias',1,
,"'De taxone liber' ('Dachstraktat'), dt.",4,
,'De vettonica herba',3,
,'De Vilthot',1,
,'Debrecener Pflanzen- und Tierbuch',1,
,"'Den Jungen die Minne, den Alten der Wein!'",3,
,'Den liepsten herren den ich han der ist mit lieb gebunden',1,
,"'Den wech van salicheden' ('Die wech der syelen salicheyt', 'Die spieghel van den kersten ghelove')",5,
,'Der Allenfrauenhold',1,
,'Der Almosenempfänger',1,
,'Der alte und der junge Ritter',2,
,'Der apostele tat',2,
,'Der arme Lazarus',2,
,'Der Bauer als Pfründner',2,
,'Der Bauern Lob',4,
,'Der Baum der Minne',1,
,'Der Baum mit dem dürren Ast',4,
,'Der beste Minnedienst',1,
,'Der betrogene Blinde',5,
,'Der betrogene Blinde' (bîspel-Fassung),2,
,'Der Bildschnitzer von Würzburg',6,
,'Der blinde Hausfreund',1,
,'Der Blumengarten',1,
,'Der Blumenhut',1,
,'Der Boiffen Orden',1,
,'Der bösen Klaffer Trügen',1,
,'Der Bräutigam im Paradies',6,
,'Der Bruder mit den sieben Säckchen',20,
,'Der Bürger im Harnisch',1,
,'Der Bussard',4,
,'Der die nacheit minnet',1,
,'Der Dieb von Brügge',1,
,'Der dreifache Schmuck der seligen Jungfrauen',1,
,'Der dürre Baum',1,
,'Der Ehevertrag',1,
,'Der entflogene Falke',1,
,'Der entsprungene Mönch',1,
,'Der eren tafel',2,
,'Der ernsthafte König' (Lied),4,
,'Der ernsthafte König' (Prosafassung),1,
,'Der erste Buchstabe der Geliebten',3,
,'Der Eselsgeselle',1,
,'Der falsche Messias',1,
,'Der falschen Klaffer List',1,
,'Der Farbenkranz der Frauentugenden',1,
,'Der Fastnacht Töchter',1,
,'Der Feigenmuntorden',1,
,'Der Feldbauer' ('Der Bergmann'),2,
,'Der Frankfurter' ('Theologia Deutsch'),11,
,'Der Frau Venus neue Ordnung',7,
