id,title,nwits
BIB598,Canterbury Tales: Chaucer's Retraction,28
BIB2821,"Piers Plowman, C Version",28
BIB5955,Twenty-color Uroscopy text,28
BIB5956,'Urina Rufa' Uroscopy text,28
BIB2336,Paraphrase of the Seven Penitential Psalms,27
BIB397,Cato Major (ME version of the Distichs),25
BIB1462,The Scale of Perfection,25
BIB1379,Confessio Amantis,23
BIB5959,'White and Brown' Uroscopy text (1),23
BIB2300,Siege of Thebes,22
BIB2361,Fables,22
BIB2386,Medulla Grammatice,22
BIB2575,Speculum Vitae,21
BIB2418,Festial,20
BIB2718,Prick of Conscience,20
BIB602,Chaucer's Canterbury Tales: Spurious Pardoner-Shipman Link (1),19
BIB626,Truth (Ballade of Good Counsel),19
BIB625,Troilus and Criseyde,18
BIB1148,Earth Upon Earth (3),18
BIB2818,"Piers Plowman, A Version (1)",18
BIB3022,English Psalter and Commentary,18
BIB3553,Boethius' De Consolatione Philosophiae (ME version),18
BIB5910,Materials from the 'JB' Treatise not otherwise analyzed,18
BIB5961,'Rufus Subrufus' Uroscopy text,18
BIB2207,Fall of Princes,17
BIB2296,Stans puer ad mensam,17
BIB1460,On the Mixed Life,16
BIB1838,Wycliffite Revised Version of the Rolle glossed Psalter Prologue,16
BIB2804,The Pricking of Love,16
BIB5911,Terms of Association from the 'JB' Treatise,16
BIB1836,Wycliffite Revised Version of the Rolle glossed Canticles (recension 1),15
BIB2820,"Piers Plowman, B Version",15
BIB3474,Higden's Polychronicon (ME translation),15
BIB5962,'Ten Hot Ten Cold' Uroscopy text,15
BIB619,Parliament of Fowls,14
BIB1369,Glosses in Walter de Bibbesworth's Treatise,14
BIB1915,Ipotis,14
BIB1974,A Little Treatise on the Seven Deadly Sins,14
BIB2779,The Pilgrimage of the Soul,14
BIB5958,'White and Red' Uroscopy text,14
BIB566,Chastising of God's Children,13
BIB567,An ABC,13
BIB2266,Prayer Upon the Cross,13
BIB2686,The Siege of Rouen,13
BIB3155,"South English Legendary: Thomas Becket, Archbishop of Canterbury",13
BIB3792,Redde rationem villicationis tue (sermon),13
BIB5286,Veynes þer be,13
BIB569,Anelida and Arcite,12
BIB613,Legend of Good Women (exclusive of Prologue),12
BIB616,Lack of Steadfastness,12
BIB2317,The Testament,12
BIB2892,Prologues to the Wycliffite 'Glossed Gospel' Commentaries on Matthew,12
BIB3157,South English Legendary: St. Brendan,12
BIB5913,Terms of 'Resting' from the 'JB' Treatise,12
BIB204,Apocalypse of St. John (ME version 1),11
BIB285,Benjamin Minor,11
BIB886,Dives and Pauper,11
BIB1839,Wycliffite Revised Version of the Rolle glossed Psalter (recension 1),11
BIB2183,Dietary,11
BIB2298,Secreta Secretorum,11
BIB2299,Continuation of Lydgate's Secreta Secretorum,11
BIB2343,Mandeville's Travels (defective version),11
BIB2629,Northern Passion,11
BIB2894,Twelve Tracts in Defense of Scripture,11
BIB3464,"Liber Uricrisiarum (Domes of Urines, or Boke of Deming of Urin)",11
BIB3503,"Vegetius, De Re Militari (ME prose version)",11
BIB3656,"Wycliffite Bible (later version), General Prologue",11
BIB5787,Golden Legend: Catherine (GiL165),11
BIB5800,Golden Legend: Five Wiles of Pharaoh (GiL179),11
BIB5895,Verses on the Kings of England (anonymous poem in its original form without Lydgate borrowings),11
BIB5912,Proper terms for carving from the 'JB' Treatise,11
BIB413,Richard de Caistre's Hymn,10
BIB576,Boece,10
BIB610,Fortune,10
BIB611,Gentilesse,10
BIB622,Complaint to his Purse,10
BIB794,Cursor Mundi,10
BIB1358,Writings of Gilbertus Anglicus,10
BIB1842,Wycliffite Interpolated version of the Rolle Psalter and Canticles (recensions not distinguished),10
BIB2166,The Churl and the Bird,10
BIB2222,"Debate of the Horse, Goose and Sheep",10
BIB3001,The Compend of Alchemy,10
BIB3084,Short Charter of Christ,10
BIB3175,South English Legendary: St. Francis (1),10
BIB3415,The Three Kings of Cologne (1),10
BIB5953,'Twenty Jordans' Uroscopy Text,10
BIB133,Adam and Eve (3),9
BIB620,Complaint unto Pity,9
BIB2089,The Libel of English Policy,9
BIB2223,Horns Away,9
BIB2227,Interpretation and Virtues of the Mass,9
BIB2274,Prayer To Mary the Queen of Heaven,9
BIB2333,Macer Floridus de Viribus Herbarum (ME version 1),9
BIB2352,Handling Sin,9
BIB2658,Liber Niger Domus Regis Angliae (Edward IV),9
BIB2832,Primer: Lay Folks' Prayer Book,9
BIB3017,Form of Living,9
BIB3199,South English Legendary: Temporale (Nativity of Mary and Christ),9
BIB3469,Bartholomaeus's De Proprietatibus Rerum (ME translation),9
BIB3857,An Exposition of the Pater Noster (Wycliffite tract) (2),9
BIB5645,Golden Legend: Agnes (GiL23),9
BIB5658,Golden Legend: Purification of the Virgin (GiL36),9
BIB5671,Golden Legend: Annunciation (GiL49),9
BIB5703,Golden Legend: John Baptist (GiL80),9
BIB5706,Golden Legend: Apostle Peter (GiL83),9
BIB5707,Golden Legend: Apostle Paul (GiL84),9
BIB5710,Golden Legend: Margaret of Antioch (GiL87),9
BIB5713,Golden Legend: Magdalen (GiL90),9
BIB5716,Golden Legend: James the Greater (GiL93),9
BIB10,ABC of Aristotle,8
BIB194,Ancrene Riwle,8
BIB365,Book of Planting and Grafting,8
BIB398,Parvus Cato (ME version),8
BIB614,Legend of Good Women (unrevised Prologue),8
BIB776,Apostles' Creed,8
BIB1302,Anonymous 15th-century Dominical Sermon Cycle,8
BIB1336,The Tale of Gamelyn,8
BIB1452,"Higden's Polychronicon (1) (ME translation of book 6, chapters 15-26)",8
BIB1918,Sir Isumbras,8
BIB1976,"Long Charter of Christ, A text",8
BIB2234,On Kissing at Verbum Caro,8
BIB2326,Song of Virtue,8
BIB2426,The Mirror (ME version),8
BIB2876,The Proverbs of Hendyng,8
BIB2999,Richard Coeur de Lion,8
BIB3139,The Siege of Jerusalem (1),8
BIB3242,Songs in Pierre de Langtoft's Chronicle,8
BIB3700,"Wycliffite Bible (later version), Table of Lessons",8
BIB5624,Golden Legend: Saint Nicholas (GiL2),8
BIB5642,Golden Legend: Anthony (GiL20),8
BIB5643,Golden Legend: Fabian (GiL21),8
BIB5644,Golden Legend: Sebastian (GiL22),8
BIB5646,Golden Legend: Vincent (GiL24),8
BIB5647,Golden Legend: Basil (GiL25),8
BIB5648,Golden Legend: John Almoner (GiL26),8
BIB5649,Golden Legend: Conversion of Paul (GiL27),8
BIB5650,Golden Legend: Paula (GiL28),8
BIB5651,Golden Legend: Julian Hospitaller (GiL29),8
BIB5652,Golden Legend: Septuagesima (GiL30),8
BIB5653,Golden Legend: Sexagesima (GiL31),8
BIB5654,Golden Legend: Quinquagesima (GiL32),8
BIB5655,Golden Legend: Lent (GiL33),8
BIB5656,Golden Legend: Ember Days (GiL34),8
BIB5657,Golden Legend: Ignatius (GiL35),8
BIB5659,Golden Legend: Blaise (GiL37),8
BIB5660,Golden Legend: Agatha (GiL38),8
BIB5666,Golden Legend: Apostle Matthias (GiL44),8
BIB5667,Golden Legend: Gregory (GiL45),8
BIB5669,Golden Legend: Benedict (GiL47),8
BIB5675,Golden Legend: Ambrose (GiL53),8
BIB5676,Golden Legend: Saint George (GiL54),8
BIB5683,Golden Legend: James the Less (GiL60),8
BIB5687,Golden Legend: Ascension (GiL64),8
BIB5691,Golden Legend: Nereus & Achilleus (GiL 68),8
BIB5699,Golden Legend: Quiricus & Julitta (GiL76),8
BIB5700,Golden Legend: Marina (GiL77),8
BIB5701,Golden Legend: Gervase & Protase (GiL78),8
BIB5702,Golden Legend: Alban (GiL79),8
BIB5704,Golden Legend: John & Paul (GiL81),8
BIB5705,Golden Legend: Pope Leo (GiL82),8
BIB5708,Golden Legend: Seven Brothers (GiL85),8
BIB5709,Golden Legend: Theodora (GiL86),8
BIB5711,Golden Legend: Alexis (GiL88),8
BIB5712,Golden Legend: Praxedes (GiL89),8
BIB5714,Golden Legend: Apollinaris (GiL91),8
BIB5715,Golden Legend: Christina (GiL92),8
BIB5717,Golden Legend: Christopher (GiL94),8
BIB5733,Golden Legend: Laurence (GiL110),8
BIB5735,Golden Legend: Assumption of the Virgin (GiL112),8
BIB5739,Golden Legend: Saint Bartholomew (GiL116),8
BIB5769,Golden Legend: Dionysius (GiL146),8
BIB5771,Golden Legend: Leonard,8
BIB5774,Golden Legend: Ursula (GiL151),8
BIB5777,Golden Legend: Eustace (GiL154),8
BIB167,Agnus Castus,7
BIB359,Body and Soul (5),7
BIB617,Complaint of Mars,7
BIB627,Complaint of Venus,7
BIB877,Nature and Diseases of Horses,7
BIB1253,The Adulterous Falmouth Squire,7
BIB1315,Form of Cury,7
BIB1378,Golden Table of Pythagoras,7
BIB1482,Letter of Cupid,7
BIB1545,Instructions to His Son,7
BIB1651,Material cited from Hodgkin's 'Proper Terms',7
BIB2168,Complaint of the Black Knight,7
BIB2175,Consulo quisque eris,7
BIB2237,Letter to Gloucester,7
BIB2247,Midsummer Rose,7
BIB2286,Right as a Ram's Horn,7
BIB2312,Saints Alban and Amphibal,7
BIB2318,Temple of Glass,7
BIB2390,Memoriale Credencium,7
BIB2425,Instructions for Parish Priests,7
BIB2807,Pater Noster,7
BIB3056,Robert of Sicily,7
BIB3087,The Dicts and Sayings of the Philosophers,7
BIB3134,Sidrak and Bokkus,7
BIB3148,South English Legendary: unanalyzed portions,7
BIB3237,Short Metrical Chronicle of England,7
BIB3580,"Wycliffite Bible (early version), Prefatory Epistles of St. Jerome",7
BIB3804,Worcester Glosses to Old English MSS,7
BIB5635,Golden Legend: Epiphany (GiL13),7
BIB5636,Golden Legend: Hermit Paul (GiL14),7
BIB5637,Golden Legend: Remy (GiL15),7
BIB5661,Golden Legend: Vedast (GiL39),7
BIB5662,Golden Legend: Amand (GiL40),7
BIB5663,Golden Legend: Valentine (GiL41),7
BIB5664,Golden Legend: Juliana (GiL42),7
BIB5665,Golden Legend: Peter's Seat (GiL43),7
BIB5668,Golden Legend: Longinus (GiL46),7
BIB5670,Golden Legend: Patrick (GiL48),7
BIB5672,Golden Legend: Passion (GiL50),7
BIB5673,Golden Legend: Secundus (GiL51),7
BIB5674,Golden Legend: Mary of Egypt (GiL52),7
BIB5678,Golden Legend: Mark (GiL55),7
BIB5679,Golden Legend: Pope Marcellinus (GiL56),7
BIB5680,Golden Legend: Vitalis (GiL57),7
BIB5681,Golden Legend: Peter (GiL58),7
BIB5682,Golden Legend: Apost.Philip (GiL59),7
BIB5684,Golden Legend: Inventio Crucis (GiL61),7
BIB5685,Golden Legend: St John before the Gate (GiL62),7
BIB5686,Golden Legend: Litanies (GiL63),7
BIB5688,Golden Legend: Pentecost (GiL65),7
BIB5689,Golden Legend: Malchus (GiL 66),7
BIB5690,Golden Legend: Gordian (GiL67),7
BIB5692,Golden Legend: Pancras (GiL69),7
BIB5693,Golden Legend: Urban (GiL70),7
BIB5694,Golden Legend: Petronilla (GiL71),7
BIB5697,Golden Legend: Apostle Barnabus (GiL74),7
BIB5698,Golden Legend: Vitus & Modestus (GiL75),7
BIB5718,Golden Legend: Seven Sleepers (GiL95),7
BIB5722,Golden Legend: Martha (GiL99),7
BIB5723,Golden Legend: Abdon & Sennon (GiL100),7
BIB5724,Golden Legend: Germain (GiL101),7
BIB5736,Golden Legend: Bernard (GiL113),7
BIB5740,Golden Legend: Augustine (GiL117),7
BIB5745,Golden Legend: Giles (GiL122),7
BIB5746,Golden Legend: Nativity of the Virgin (GiL123),7
BIB5747,Golden Legend: Cecilia (GiL124/162),7
BIB5751,Golden Legend: Exaltation of the Cross (GiL128),7
BIB5752,Golden Legend: Chrysostom (GiL129),7
BIB5756,Golden Legend: Matthew (GiL133),7
BIB5765,Golden Legend: Francis (GiL142),7
BIB5772,Golden Legend: Luke (GiL149),7
BIB5775,Golden Legend: Simon & Jude (GiL152),7
BIB5778,Golden Legend: All Saints (GiL155),7
BIB5779,Golden Legend: All Souls (GiL156),7
BIB5782,Golden Legend: Martin (GiL159),7
BIB5783,Golden Legend: Brice (GiL160),7
BIB5784,Golden Legend: Elizabeth of Hungary (GiL161),7
BIB5785,Golden Legend: Clement (GiL163),7
BIB5960,'White and Brown' Uroscopy text (2),7
BIB1,The Abbey of the Holy Ghost,6
BIB294,Bevis of Hampton,6
BIB385,Prose Brut (ME version concluding in 1419),6
BIB402,John of Burgundy's shorter Book on the Plague (ME version),6
BIB629,Guy de Chauliac's Grande Chirurgie (ME version 1),6
BIB693,The Cloud of Unknowing,6
BIB1344,Historia Regum Britanniae,6
BIB1499,Regement of Princes,6
BIB1977,"Long Charter of Christ, B text",6
BIB2087,Lay Folks Mass Book,6
BIB2164,A Calendar,6
BIB2171,Christ's Passion,6
BIB2186,Dance Macabre (1),6
BIB2214,Guy of Warwick,6
BIB2218,Subtleties at the Coronation Banquet of King Henry VI,6
BIB2301,Legend of Saint Austin at Compton,6
BIB2306,Stella celi extirpavit (1),6
BIB2323,Fabula duorum mercatorum,6
BIB2332,Macaronic Sermons,6
BIB2377,Medical Recipes (2),6
BIB2806,Poema Morale,6
BIB2808,The Pater Noster of Richard Ermyte,6
BIB2817,Promptorium Parvulorum,6
BIB3171,South English Legendary: Ursula and the Eleven Thousand Virgins,6
BIB3247,Speculum of Guy of Warwick,6
BIB3412,Thomas of Erceldoune,6
BIB3431,The Siege of Jerusalem (Titus and Vespasian),6
BIB3650,"Wycliffite Bible (later version), Marginal Glosses and Comments in Psalms",6
BIB4250,Gifte hys,6
BIB5623,Golden Legend: Andrew (GiL1),6
BIB5626,Golden Legend: Apostle Thomas (GiL4),6
BIB5627,Golden Legend: Nativity (GiL5),6
BIB5628,Golden Legend: Anastasia (GiL6),6
BIB5629,Golden Legend: Stephen (GiL7),6
BIB5630,Golden Legend: John Evangelist (GiL8),6
BIB5633,Golden Legend: Silvester (GiL11),6
BIB5638,Golden Legend: Hilary (GiL16),6
BIB5639,Golden Legend: Macarius (GiL17),6
BIB5640,Golden Legend: Felix Nola (GiL18),6
BIB5641,Golden Legend: Pope Marcellus (GiL19),6
BIB5695,Golden Legend: Deacon Peter (GiL72),6
BIB5696,Golden Legend: Primus & Felicianus (GiL73),6
BIB5719,Golden Legend: Nazarius & Celsus (GiL96),6
BIB5720,Golden Legend: Pope Felix (GiL97),6
BIB5721,Golden Legend: Simplicius & Faustinus (GiL98),6
BIB5725,Golden Legend: Eusebius (GiL102),6
BIB5726,Golden Legend: Maccabees (GiL103),6
BIB5727,Golden Legend: Peter in Chains (GiL104),6
BIB5728,Golden Legend: Inventio Stephani (GiL105),6
BIB5734,Golden Legend: Hippolytus (GiL111),6
BIB5737,Golden Legend: Timothy (GiL114),6
BIB5738,Golden Legend: Symphorian (GiL115),6
BIB5741,Golden Legend: Felix & Adauctus (GiL118),6
BIB5742,Golden Legend: Savinian & Savina (GiL119),6
BIB5743,Golden Legend: Lupus (GiL120),6
BIB5744,Golden Legend: Mamertin (GiL121),6
BIB5748,Golden Legend: Adrian (GiL125),6
BIB5750,Golden Legend: Protus & Hyacinth (GiL127),6
BIB5753,Golden Legend: Cornelius & Cyprian (GiL120),6
BIB5754,Golden Legend: Euphemia (GiL131),6
BIB5757,Golden Legend: Maurice (GiL134),6
BIB5758,Golden Legend: Justina (GiL135),6
BIB5759,Golden Legend: Cosmas & Damian (GiL136),6
BIB5760,Golden Legend: Fursey (GiL137),6
BIB5761,Golden Legend: Michael (GiL138),6
BIB5762,Golden Legend: Jerome (GiL139),6
BIB5763,Golden Legend: Translation of St. Remy (GiL140),6
BIB5764,Golden Legend: Leger (GiL141),6
BIB5768,Golden Legend: Thais (GiL145),6
BIB5770,Golden Legend: Callistus (GiL147),6
BIB5773,Golden Legend: Chrysanthus & Daria (GiL150),6
BIB5776,Golden Legend: Quentin (GiL153),6
BIB5788,Golden Legend: Saturnine (GiL166),6
BIB6019,"St. Katherine of Alexandria (6) (late prose version, Kurvinen's version 'a')",6
BIB6209,Glosses on the De utensilibus of Adam de Petit Pont,6
BIB247,Assumption of the Virgin (1),5
BIB252,Poems,5
BIB298,Bible: prose version of portions of the New Testament (1),5
BIB314,Book of Marshalcy,5
BIB540,Alain Chartier's Le Traite de l'Esperance (ME translation),5
BIB637,The Chester Plays,5
BIB667,The Cuckoo and the Nightingale,5
BIB723,English Conquest of Ireland,5
BIB768,Court of Sapience,5
BIB1231,La Estorie del Evangelie,5
BIB1320,The Marriage Service,5
BIB1366,"Chronicle, Version B",5
BIB1461,Commentary on Qui Habitat,5
BIB1518,How the Good Wife Taught Her Daughter (1),5
BIB1840,Wycliffite Revised Version of the Rolle glossed Psalter (recension 2),5
BIB1992,Legal Glossary in Higden's Polychronicon,5
BIB2088,Libeaus Desconus,5
BIB2177,So As the Crab Goes Forward,5
BIB2187,Dance Macabre (2),5
BIB2245,Miracles of St. Edmund,5
BIB2257,The Order of Fools,5
BIB2270,"Prayer for Henry VI, His Queen and People",5
BIB2283,Lamentation of Our Lady Maria,5
BIB2314,Troy Book,5
BIB2329,A Wicked Tongue Will Say Amiss,5
BIB2592,Northern Homily Cycle: extracts,5
BIB2696,Partonope of Blois (1),5
BIB2717,A Notable Charter of Pardon (a tract from The Poor Caitiff),5
BIB2893,Wycliffite Tract On Translating the Bible into English,5
BIB3016,"Richard Rolle's Commentary on the Versicle ""Oleum Effusum"" (anonymous ME version)",5
BIB3035,La Belle Dame Sans Mercy,5
BIB3083,Sayings of Saint Bernard,5
BIB3120,The Seven Sages (1),5
BIB3135,Sidrak and Bokkus on the Atmospheric and Earth Sciences,5
BIB3160,South English Legendary: St. Cecilia,5
BIB3164,South English Legendary: Legends of the Cross,5
BIB3190,South English Legendary: St. Lucy,5
BIB3200,South English Legendary: St. Nicholas of Myra,5
BIB3203,South English Legendary: Temporale (Passion of Christ),5
BIB3204,South English Legendary: St. Patrick's Purgatory,5
BIB3270,The Stations of Rome (1),5
BIB3299,Legend of Pope Gregory,5
BIB3384,Susannah,5
BIB3441,Treatise of Discretion of Spirits,5
BIB3470,Defensio Curatorum (ME translation),5
BIB3472,Dialogus inter Militem et Clericum (ME translation),5
BIB3488,The Vision of Tundale,5
BIB3492,Twelve Profits of Tribulation (2),5
BIB3594,"Wycliffite Bible (early version), Prologues to Job",5
BIB3607,"Wycliffite Bible (early version), Prologues to Romans",5
BIB3625,"Wycliffite Bible (later version), Marginal Glosses and Comments in Exodus",5
BIB3903,Master of Game,5
BIB4637,King conseilles,5
BIB4819,Mon may longe,5
BIB5144,Þe man þt wylle,5
BIB5447,Wyth was hys,5
BIB5625,Golden Legend: Lucy (GiL3),5
BIB5631,Golden Legend: Innocents (GiL9),5
BIB5634,Golden Legend: Circumcision (GiL12),5
BIB5755,Golden Legend: Lambert (GiL132),5
BIB5766,Golden Legend: Pelagia (GiL143),5
BIB5767,Golden Legend: Margaret Pelagia (GiL144),5
BIB5780,Golden Legend: Four Crowned Martyrs (GiL157),5
BIB5781,Golden Legend: Theodore (GiL158),5
BIB5786,Golden Legend: Chrysogonus (GiL164),5
BIB5789,Golden Legend: James Intercisus (GiL167),5
BIB5790,Golden Legend: Abbot Pastor (GiL168),5
BIB5791,Golden Legend: Abbot John (GiL169),5
BIB5792,Golden Legend: Abbot Moses (GiL170),5
BIB5793,Golden Legend: Abbot Arsenius (GiL171),5
BIB5794,Golden Legend: Abbot Agathon (GiL172),5
BIB5795,Golden Legend: Barlaam & Josaphat (GiL173),5
BIB5796,Golden Legend: Pope Pelagius (GiL174),5
BIB5797,Golden Legend: Dedication of the Church (GiL175),5
BIB6023,On the Commandments (a tract from The Poor Caitiff),5
BIB6097,"Wycliffite Gospel Commentaries or 'Glossed Gospels,' Matthew",5
BIB6107,'Three inspections' Hematoscopy,5
BIB6207,Glosses on the Doctrinale of Alexander of Villa Dei,5
BIB6208,Glosses on the Graecismus of Eberhard of Bethune,5
BIB184,Amis and Amiloun,4
BIB216,Arthur and Merlin,4
BIB262,Awntyrs of Arthur,4
BIB315,Book to A Mother,4
BIB335,Epistle of St John the Hermit Against Boasting and Pride,4
BIB396,Description of Edward III in the English Prose Brut,4
BIB428,Life of Saint Katherine of Alexandria,4
BIB518,Charter of the Abbey of the Holy Ghost,4
BIB539,Alain Chartier's Le Quadrilogue Invectif (ME translation) (2),4
BIB621,Proverbs,4
BIB728,Contemplations of the Dread and Love of God,4
BIB847,Sir Degare,4
BIB867,Dice (2),4
BIB878,Diseases of Women (1),4
BIB879,Diseases of Women (2),4
BIB1120,Doctrine of the Heart,4
BIB1124,Doomsday,4
BIB1155,Sir Eglamour,4
BIB1165,A Pistle of Discrecioun of Stirings,4
BIB1166,A Pistle of Preier,4
BIB1228,Earl of Toulouse,4
BIB1308,Floris and Blauncheflur,4
BIB1340,The Lay Folk's Catechism,4
BIB1405,Gesta Romanorum,4
BIB1418,Chronicle (second version),4
BIB1458,Chapters on Perfection,4
BIB1936,King Alexander,4
BIB1965,Lamentation of a Dead Sinner,4
BIB2151,Complaint of God,4
BIB2182,Deus in nomine tuo saluum me fac,4
BIB2188,Beware of Doubleness,4
BIB2201,The Fifteen Joys and Sorrows of Mary,4
BIB2202,The Fifteen O's of Christ,4
BIB2206,Four Things that Make a Man a Fool (2),4
BIB2212,Gloriosa dicta sunt de te,4
BIB2215,A Ditty Against Haste,4
BIB2220,King Henry VI's Triumphal Entry into London,4
BIB2229,Ballade of Jack Hare,4
BIB2233,Verses on the Kings of England (anonymous poem with some Lydgate borrowings),4
BIB2239,Look in Thy Mirror,4
BIB2260,A Doctrine for Pestilence,4
BIB2271,Prayer to Saint Leonard,4
BIB2275,Prayer To Mary the Star of Jacob,4
BIB2279,Prayers to Ten Saints,4
BIB2292,Serpent of Division,4
BIB2324,Valentine to Our Lady,4
BIB2367,Chronicle of Popes and Emperors (ME version),4
BIB2421,Mirk's Festial (anonymous revision),4
BIB2429,A Mirror to Lewd Men and Women,4
BIB2459,Midland Prose Psalter,4
BIB2580,Northern Homily Cycle: The Abbess Delivered,4
BIB2581,Northern Homily Cycle: The Archbishop and Nun,4
BIB2591,Northern Homily Cycle: Sermons on the Gospels,4
BIB2613,The Gospel of Nicodemus (1),4
BIB2615,The Gospel of Nicodemus (3),4
BIB2874,The Proverbs of Alfred,4
BIB2889,"Wycliffite Gospel Commentaries or 'Glossed Gospels,' Luke",4
BIB3015,Ego Dormio et Cor Meum Vigilat,4
BIB3021,Meditations on the Passion (2),4
BIB3143,The Siege of Troy (1),4
BIB3165,South English Legendary: St. Cuthbert,4
BIB3167,"South English Legendary: St. Dunstan, Archbishop of Canterbury",4
BIB3168,South English Legendary: St. Edmund Rich of Abingdon,4
BIB3182,South English Legendary: St. James the Greater,4
BIB3183,South English Legendary: St. John the Evangelist,4
BIB3187,South English Legendary: St. Kenelm,4
BIB3194,South English Legendary: St. Michael the Archangel,4
BIB3258,Life of Saint Alexis (1),4
BIB3281,Saint Brendan's Confession,4
BIB3286,Life of Saint Dorothy (2),4
BIB3301,St. Jerome,4
BIB3389,Symbols of the Passion,4
BIB3420,Three Workings in Man's Soul,4
BIB3467,Trental of St. Gregory (1),4
BIB3471,Dialogue between a Lord and a Clerk on Translation,4
BIB3473,Epistle to Berkeley,4
BIB3506,"Anatomy from William of Saliceto's Surgery, book IV (Middle English version)",4
BIB3602,"Wycliffite Bible (early version), Prologue to Matthew",4
BIB3626,"Wycliffite Bible (later version), Marginal Glosses and Comments in Ezekiel",4
BIB4062,As Reson Rywlyde,4
BIB4101,Bi a wey,4
BIB4509,Ihesu þi swetnes,4
BIB4790,Mary moder well,4
BIB5068,Stond wel moder,4
BIB5083,Swete Ihesu now,4
BIB5154,Þene latemeste dai,4
BIB5632,Golden Legend: Thomas of Canterbury (GiL10),4
BIB5729,Golden Legend: Dominic (GiL106),4
BIB5731,Golden Legend: Donatus (GiL108),4
BIB5732,Golden Legend: Cyriacus (GiL109),4
BIB5749,Golden Legend: Gorgonius & Dorotheus (GiL126),4
BIB5798,Golden Legend: Advent (GiL176),4
BIB5815,Golden Legend Supplement: St. Dunstan (GiL.Suppl.14),4
BIB5822,Golden Legend Supplement: St. Faith (GiL.Suppl.21),4
BIB5830,South English Legendary: Life of St Egwine,4
BIB5832,South English Legendary: Life of St. Ethelbert,4
BIB5834,South English Legendary: Life of St. Mildred,4
BIB5909,This boke heyght yppocras,4
BIB5929,"The Liber de Simplici 
Medicina (Circa Instans) of Platearius (ME version)",4
BIB5954,Letter of Ipocras (Prose Prologues),4
BIB6050,The Mirror of Chastity (a tract from The Poor Caitiff),4
BIB6051,A 'short sentence' on the Active and Contemplative Life (a tract from The Poor Caitiff),4
BIB6052,A 'short sentence' on Human Will (a tract from The Poor Caitiff),4
BIB6053,A 'short sentence' on Meekness (a tract from The Poor Caitiff),4
BIB6054,A 'short sentence' on the Love (or Desire) of Jesus (a tract from The Poor Caitiff),4
BIB6055,A 'short sentence' on the Name (or Love) of Jesus (a tract from The Poor Caitiff),4
BIB6056,A 'short sentence' on Ghostly Battle (a tract from The Poor Caitiff),4
BIB6057,A 'short sentence' on Temptation (a tract from The Poor Caitiff),4
BIB6058,A 'short sentence' on Vertuous Patience (a tract from The Poor Caitiff),4
BIB6059,A 'short sentence' on the Council of Christ (a tract from The Poor Caitiff),4
BIB6060,Pater Noster (a tract from The Poor Caitiff),4
BIB6061,The Creed (a tract from The Poor Caitiff),4
BIB6062,Prologue to The Poor Caitiff,4
BIB6108,Tract on garsing and ventosing,4
BIB6128,Christian Man's Belief (Prose Commentary on the Creed),4
BIB6183,'Matris Filius' Sermon Cycle (ME translation),4
