;;"gen";"rep_n_aut";"autore";"post";"ante";"origine";"identificazione"
"";"Scheda";"0: solo nominato";"BEdT 384a";"Lo princeps dels Bauz";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"L'attribuzione compare nell'indice di ^a e non può essere associata con sicurezza a nessun testo."
"";"Scheda";"0: solo nominato";"BEdT 042";"Auzer Figueira";" ";" ";"non precisabile: solo nominato";" "
"";"Scheda";"0: solo nominato";"BEdT 321";"Pei Ramon";" ";" ";"non precisabile: solo nominato";" "
"";"Scheda";"0: solo nominato";"BEdT 033";"Arnaut Romieu";" ";" ";"non precisabile: solo nominato";" "
"";"Scheda";"0: solo nominato";"BEdT 161";"Galaubet";" ";" ";"non precisabile: solo nominato";" "
"";"Scheda";"0: solo nominato";"BEdT 164";"Gasquet";" ";" ";"non precisabile: solo nominato";"Si tratta con ogni evidenza di un giullare, nominato nell'incipit di BEdT 461,123c e oggetto di una diretta satira personale nelle coblas di Fortunier BEdT 158,001, unitamente al suo possibile protettore n'Aimeric."
"";"Scheda";"0: solo nominato";"BEdT 175";"Geneys lo Joglar";" ";" ";"non precisabile: solo nominato";"Attribuzione presente nel solo canzoniere °C 1085 per la canzone BEdT 027,004b. Blasi 1937, p.XXIII, che esclude \175 Geneys lo joglar come autore di 027,004b perché si tratta di personaggio altrimenti sconosciuto, avanza l'idea che si possa trattare di uno pseudonimo per desiganare lo stesso Arnaut Catalan cui la canzone religiosa è attribuita dal solo °M. La rubrica attributiva nella tavola del canzoniere (quella in testa alla canzone è parzialmente asportata, ma concorde per quanto rimane) recita Geneys lo ioglars a cuy uoutz de lucas det lo sotlar ."
"";"Scheda";"0: solo nominato";"BEdT 135";"Elias Gausmar";" ";" ";"non precisabile: solo nominato";"Variante di nome presente nei canzonieri °C °R nella satira BEdT 323,011."
"";"Scheda";"3 (?)";"BEdT 334";"Peire de la Cavarana";" ";" ";"Italia";" "
"";"Scheda";"3 (?)";"BEdT 065";"Bernart de Pradas";" ";" ";"Quercy, Rouergue (?)";" "
"";"Scheda";"2,3";"BEdT 242";"Guiraut de Borneill";" ";" ";"Limosino, Marche";" "
"";"Scheda";"rubrica annullata";"BEdT 431";"Salamo";" ";" ";"inesistente";" "
"";"Scheda";"rubrica annullata";"BEdT 408";"Raimon Robin";" ";" ";"inesistente";"Si tratta certamente di un epiteto derisorio Raimondo il furbo , che designa secondo ogni evidenza il Conte Raimondo VII di Tolosa."
"";"Scheda";"rubrica annullata";"BEdT 271";"Jordan";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"rubrica annullata";"BEdT 188";"Grainier";" ";" ";"inesistente";"Trovatore in realtà inesistente, la grafia Grainier va letta correttamente Guillem Rainier : cfr. dunque sotto questa scheda, BEdT 230a."
"";"Scheda";"rubrica annullata";"BEdT 153";"Folquet";" ";" ";" ";"v. Folquet de Lunel"
"";"Scheda";"rubrica annullata";"BEdT 152";"Folquet";" ";" ";" ";"v. coms de Tolosa"
"";"Scheda";"6: variante di nome";"BEdT 222";"Guillem de Lobevier";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: variante di nome";"Trovatore in realtà inesistente. Il nome compare come puro errore per G. de l'Olivier nella rubrica di sezione del canzoniere ^f 0022. Nella schedatura del ms., si è considerata la rubrica En G. de Lobeuier , a rigore da classificare come BEdT 222, come pura variante - erronea - di BEdT 246."
"";"Scheda";"6 @";"BEdT 322a";"Peire";" ";" ";" ";" "
"";"Scheda";"6 @";"BEdT 175a";"Girart";" ";" ";"Italia";"Girardo Cavallazzi di Novara"
"";"Scheda";"4,5";"BEdT 335";"Peire Cardenal";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"2: senhal";"BEdT 287";"Lignaure";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Senhal designante con sicurezza Raimbaut d'Aurenga nella tenzone BEdT 389,010a Ara.m platz, Guiraut de Borneill ."
"";"Scheda";"3 / 4";"BEdT 355";"Peire Raimon de Toloza";" ";" ";"Linguadoca, Contea di Foix";"cfr. 354a Paire Raimon"
"";"Scheda";"4";"BEdT 136";"Elias d'Uisel";" ";" ";"Limosino, Marche";" "
"";"Scheda";"4";"BEdT 119";"Dalfi d'Alvergne";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4";"BEdT 156";"Falquet de Romans";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Circa il nome - Falquet e non Folquet - cfr. le argomentazioni conclusive di Arveiller 1971. Doveva essere in Italia nel 1212, poiché in 156,011 dichiara di aver visto allora Federico II (De Bartholomaeis 1911-12c, p.98)."
"";"Scheda";"4";"BEdT 151";"Folco";" ";" ";"non precisabile";"L'autore compare nei repertori come Folco , in accordo con la rubrica attributiva di °H, ma in realtà è chiamato Falcos nel testo dello stesso H (str.2, v.4) e figura come Flacs , di nuovo con la a , nel testo di °P Folco è il risultato di una correzione apportata in sede di edizione critica. Falco è allo stato delle cose una possibilità almeno equivalente e forse superiore a Folco . E' un giullare, forse italiano, data la qualità delle rime."
"";"Scheda";"4";"BEdT 149";"Faure";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";" "
"";"Scheda";"4";"BEdT 148";"Falconet";" ";" ";"non precisabile: diversi autori";"La rubrica raggruppa due autori forse differenti, ma coevi, attivi l'uno in Italia (tenzone con Taurel), l'altro in Provenza (tenzone con Faure)."
"";"Scheda";"4";"BEdT 147";"Falco";" ";" ";"non precisabile: diversi autori";"Si tratta quasi certamente di due trovatori diversi. Il Falco, forse un giullare, che tenzona con Gui de Cavaillon in 192,002a (= 147,002) secondo ogni evidenza non è il contendente di Guiraut Riquier in 248,028 (= 147,001): cfr. Jeanroy 1934, p.365 Betti 1998, p.69-70 (ma con alcuni errori ed omissioni). Andrebbe inoltre aggiunto il Falco, erroneamente repertoriato come Folco , anch'egli un giullare e identificabile almeno in ipotesi col primo, che interpella Cavaire in uno scambio di coblas (BEdT 151,001 = BEdT 111,002)."
"";"Scheda";"4";"BEdT 143";"Esquileta";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 173";"Gausbert de Poicibot";" ";" ";"Poitou, Saintonge, Périgord";" "
"";"Scheda";"4";"BEdT 134";"Elias Fonsalada";" ";" ";"Poitou, Saintonge, Périgord";"un Fonsalada è nominato in qualità di giullare da Bernart de Ventadorn nella stroda d'invio di 070,021 Ges de chantar no.m pren talans con l'incarico di portare il vers a mon seignor, al rei"
"";"Scheda";"4";"BEdT 133";"Elias Cairel";" ";" ";"Poitou, Saintonge, Périgord";" "
"";"Scheda";"4";"BEdT 132";"Elias de Barjols";" ";" ";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 129";"Eble d'Uisel";" ";" ";"Limosino, Marche";" "
"";"Scheda";"4";"BEdT 124";"Daude de Pradas";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"4";"BEdT 123";"Daude de Carlus";" ";" ";"Quercy, Rouergue";"cfr. Guida 1983, p.47 Aurell 1989, p.72 e n.36, p.299. Un Deurde de Castlucio è menzionato come morto nel 1246 (HGL, VIII, 1995): nominato in 149,001 cfr. 193 Gui de Glotos."
"";"Scheda";"4";"BEdT 231";"Guillem Rainol d'At";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Secondo Perugi 1985, p.53, il trovatore avrebbe composto la sua canzone 231,001 negli anni 1176-1184 (sulla base di HLF ?) certamente però dell'inizio del XIII un Guillemus Ranoli è testimone in un documento di Alfonso II (Tarascona 1209). La canzone 010,031, che gli è attribuita non senza verosimiglianza dal solo canz. °D, è dedicata a un Peire Rogier, identificabile col signore di Mirapeis, e dunque del tutto compatibile per cronologia e ambienti con la tenzone 231,003."
"";"Scheda";"4";"BEdT 144";"Esquilla";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 194";"Gui d'Uisel";" ";" ";"Limosino, Marche";"Nato verso il 1250, morto nel 1230 secondo Billet 1982, passim."
"";"Scheda";"4";"BEdT 227";"Guillem Peire de Cazals";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"4";"BEdT 460";"Vescoms de Torena";" ";" ";"Limosino, Marche";" "
"";"Scheda";"4";"BEdT 217";"Guillem Figueira";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 002";"Ademar Jordan";" ";" ";"Quercy, Rouergue";"Trovatore appartenente alla famiglia dei Visconti di Saint-Antonin (Tarn-et-Garonne) e con ogni probabilità figlio del trovatore Raimon Jordan (BEdT 404). Attivo come trovatore nei primi anni della Crociata albigese, durante la quale il suo nome è ricordato tra i sostenitori della parte tolosana, anche nella Canso de la Crozada . I dati in Brunel 1926a e ora soprattutto in Guida 2002."
"";"Scheda";"4";"BEdT 208";"Guillem de Balaun";" ";" ";"Linguadoca, Contea di Foix";"Hershon 2001, p.210, ritiene dubbio che lo si possa collegare con Balaruc-les-Bains, nella regione di Béziers"
"";"Scheda";"4";"BEdT 205";"Guillem Augier Novella";" ";" ";"Linguadoca, Contea di Foix";"Identificazione molto problematica. Non è da escludere che i testi sotto la sigla 205 appartengano in realtà a più autori distinti, per quanto operanti tutti nella prima metà del XIII secolo, in particolare oltre appunto a Guillem Augier Novella (BEdT 205) Augier Novella (BEdT 037) Augier (BEdT 036a) Augier de Saint Donat (BEdT 037a) Guillem Augier de Grassa (BEdT 204a) ma si tenga presente anche l'attribuzione di °C, Guillem Mogier de Bezers per ora ricondotta a questa scheda BEdT 205 ma anch'essa suscettibile di diversa interpretazione, almeno in partenza. In BEdT 205,004a l'autore dichiara di aver visto il giovane Federico II, prob. durante il viaggio dall'Italia verso la Germania nel 1212 (cfr. De Bartholomaeis 1911-12c, p.98). Aurell 1989, p.85 identifica probablement il Guillem Augier cui è indirizzato il sirventese BEdT 087,002 di Bertran del Poget e che è verosimilmente l'autore di BEdT 205,007 con le seigneur d'Oze, près de Gap, devenu podestat d'Arles dans les années trente du XIIIe siècle . Larghi 2007a, 120 sgg., propone di suddividere il corpus BEdT 205 tra più trovatori: uno attivo in area tolosana BEdT 205,002 e BEdT 205,003), forse il medesimo cui si devono poi testi giullareschi di provenienza italiana (BEdT 205,005, BEdT 205,006 BEdT 205,007 e BEdT 205,001) invece il partimen BEdT 205,004 andrà assegnato a BEdT 204a Guillem Augier di Grassa, giudice (cfr. spec. p. 121-5). Resta però non assegnato nella sintesi di larghi il gruppo formato dalla canzone cortese BEdT 205,004a e dal descort BEdT 205,004b (entrambi di attribuzione contesa) appare delicata in particolare la collocazione del descort . Hershon 2001, pp. 141-2 non esclude che i testi appartengano a uno stesso trovare, ma si limita a considerare quelli più strettamenti legati a Bézier, BEdT 2005,002 e BEdT 205,003).Va rilevato che il cognome Moger (cfr. attribuzione in °C) è portato anche da un poeta catalano del sec. 14-5 (Gabriel Moger, che dibatte con Gabriel Ferruç)."
"";"Scheda";"4";"BEdT 168";"Gauceran de Saint Leidier";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Nipote ( petit-fils ) di Guillem de Saint-Didier (BEdT 234)"
"";"Scheda";"4";"BEdT 202";"Guillem Ademar";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 172a";"Gausbert e.N Bernart de Durfort";" ";" ";"Quercy, Rouergue (?)";"attribuzione del canz. °D"
"";"Scheda";"4";"BEdT 193";"Gui de Glotos";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Aurell 1989, n.36, p.299 (ipotesi possibili)."
"";"Scheda";"4";"BEdT 192";"Gui de Cavaillo";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"pseudonimi: Guionet (BEdT 238), Esperdut (BEdT 142), Cabrit (BEdT 105: ma v. scheda) cfr. Appel 1920, pp.70-74 e nn.37-38, pp.111-112 e ora sopr. Brusoni 1998 e 1998a. Guida 2003 propone d'identificarlo come l'autore della seconda parte (filo-tolosana) della Canso de la crotzada ."
"";"Scheda";"4";"BEdT 187";"Gräfin von Provence - la Comtessa de Proensa";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 186";"Graf von Toulouse - lo Coms de Toloza";" ";" ";"Linguadoca, Contea di Foix";"Raimondo VII? Attribuzione discutibile di 186,001a: la rubrica del ms. identifica gli autori come Folquet e Porcier. Come Raimondo VII di Tolosa è riconosciuto da Guida 1972, p.199 l'interlocutore di Gui de Cavaillon in 192,005."
"";"Scheda";"4";"BEdT 185";"Graf von Rodez - lo Coms de Rodes";" ";" ";"Quercy, Rouergue";"Secondo ogni probabilità si tratta di Enrico I di Rodez, ultimo figlio di Ugo II (1155 - 1209-10 ca.) e conte dal 1214 al 1222 (ma cfr. Alvar 1977, p.161-2 sul riferimento a Martín Algai in 457,033a (F), che comporterebbe una data anteriore al 1212). L'attribuzione generica Lo coms derodes compre in °A per BEdT 184,001."
"";"Scheda";"4";"BEdT 181";"Graf von Biandrate - lo Coms de Blandra";" ";" ";"Italia";" "
"";"Scheda";"4";"BEdT 177";"Gormonda";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 204a";"Guillem Augier de Grassa";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Personaggio che compare solo come assegnatario di un'attribuzione nella BdT (di BEdT 080,008a) e che potrebbe però celare l'identità di un trovatore Augier de Grassa, identificabile con un personaggio reale, giudice appunto in Grasse: cfr. ora sopr. Larghi 2007a, p.121-126 (anche per la rassegna sintetica di precedenti interventi). Larghi in particolare propone di riconoscerlo come il promotore del partimen BEdT 205,004."
"";"Scheda";"4";"BEdT 022";"Amoros dau Luc";" ";" ";"non precisabile";" "
"";"Scheda";"4";"BEdT 120";"Dalfinet";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Cavaliere provenzale, il cui nome sembra indicare una relazione col castrum di Dalfinum (Basse Alpi), posto a pressoché uguale distanza da Forcalquier e da Manosque (Guida, p.101) ma il testo conservato, pur effettivamente attribuibile a un nobile o cavaliere sulla base dell'intonazione, non contiene elementi utili alla precisazione dell'identità."
"";"Scheda";"4";"BEdT 037";"Augier Novella";" ";" ";"Linguadoca, Contea di Foix (?)";"Identificazione problematica."
"";"Scheda";"4";"BEdT 036a";"Augier";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"4";"BEdT 032";"Arnaut Plagues";" ";" ";"Poitou, Saintonge, Périgord";"Circa la grafia del nome, Zufferey 1999, p.323, nota, preferisce Plages , intendendo avocat, défenseur ."
"";"Scheda";"4";"BEdT 028";"Arnaut de Cumenge";" ";" ";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 026a";"Arnaut de Carcassés";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 045";"Baussan";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais (?)";"A Bausan (=045) sono da prob. da ricondurre due testi classificati da BdT sotto 448 Uc, 448,001 e 448,001a cfr. Harvey 2002, sopr. p.34-5 per il quadro delle rubriche e delle forme di indirizzo."
"";"Scheda";"4";"BEdT 024";"Arman";" ";" ";"non precisabile: attribuzione";"attribuzione: gli è assegnata nella rubrica di °S la tenzone BEdT 025,001a (= BEdT 058,001) e in effetti secondo Marshall 1985, p.453, questo e non Arnaut dovrebbe essere il promotore della tenzone."
"";"Scheda";"4";"BEdT 054";"Bernart Arnaut d'Armagnac";" ";" ";"Guascogna, Comminges, Agenais";"Identificato (Jeanroy 1934, p.343) con Bernart Arnaut, conte d'Armagnac dal 1217 al 1226, fratello e successore di Géraud IV. Lo scambio di coblas con Na Lombarda deve avere avuto luogo prima del 1217, a dar credito alla razo, nella quale lo si presenta appunto come fraire del comte d'Armanhac ."
"";"Scheda";"4";"BEdT 020";"Almuc de Castelnou";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Identificata da Brunel 1915-16 con una nobildonna citata in un atto del 18 luglio 1219, Almodis, moglie di Guigo de Casterlnou de Randon [Châteauneuf-de-Randon], arr. di Mende, Lozère (Jeanroy 1934, p.336). Cfr. Guida 1990, p.190-1, nota Latella 1994, p.56-7."
"";"Scheda";"4";"BEdT 016";"Albertet de Sestaro";" ";"1200";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 011";"Aimeric de Sarlat";" ";" ";"Poitou, Saintonge, Périgord";" "
